Time,acc_x,acc_y,acc_x,fx,fy,fz
0.0513,0.00260609,-0.0148994,0.035058,-1.47874,2.94023,-0.723039
0.052,0.00187104,-0.0133702,0.0365481,-1.78401,2.48256,-1.02847
0.0527,0.00106917,-0.0126056,0.0369403,-2.08915,2.02489,-1.18074
0.0533,-6.68229E-05,-0.011469,0.036156,-1.47874,2.63512,-0.570773
0.054,-0.00120281,-0.0103118,0.0365481,-1.17359,2.94023,-0.418056
0.0547,-0.00160375,-0.00954719,0.0381167,-1.63137,2.78767,-0.875755
0.0553,-0.00160375,-0.00878259,0.0384304,-1.47874,2.78767,-0.875755
0.056,-0.00193786,-0.00841062,0.0381167,-1.78401,2.48256,-0.875755
0.0567,-0.00273974,-0.00803865,0.0384304,-2.08915,2.33,-0.723039
0.0573,-0.00461078,-0.00764602,0.0384304,-1.93652,2.48256,-0.723039
0.058,-0.00541265,-0.00650945,0.0388226,-1.32623,2.94023,-0.570773
0.0587,-0.00501172,-0.00458761,0.0396069,-1.32623,2.78767,-0.570773
0.0593,-0.00541265,-0.00382301,0.0392147,-1.47874,2.48256,-0.723039
0.06,-0.00654864,-0.00382301,0.0388226,-0.868449,2.78767,-0.875755
0.0607,-0.00654864,-0.00268644,0.0388226,-1.32623,2.48256,-1.02847
0.0613,-0.00654864,-0.00154987,0.0381167,-1.78401,2.48256,-1.02847
0.062,-0.00654864,-0.00154987,0.0381167,-1.02096,3.09278,-0.418056
0.0627,-0.00654864,-0.00154987,0.0392147,-1.47874,2.63512,-0.723039
0.0633,-0.00614771,-0.000392633,0.0403912,-1.78401,2.33,-0.723039
0.064,-0.00694958,0.000371968,0.0403912,-1.17359,2.63512,-0.418056
0.0647,-0.00808557,-0.000785267,0.0407833,-1.32623,2.17745,-1.02847
0.0653,-0.00841968,-0.000785267,0.0407833,-1.78401,2.17745,-1.18074
0.066,-0.00841968,-0.000392633,0.041097,-1.93652,2.33,-1.02847
0.0667,-0.00841968,-0.000785267,0.0422735,-1.32623,2.33,-1.02847
0.0673,-0.00841968,-0.00154987,0.0430578,-0.868449,2.94023,-0.570773
0.068,-0.00922156,-0.00231447,0.0434499,-1.32623,2.48256,-0.570773
0.0687,-0.00955567,-0.00268644,0.0430578,-1.63137,2.17745,-1.18074
0.0693,-0.00995661,-0.00268644,0.0434499,-1.17359,2.48256,-1.02847
0.07,-0.0103575,-0.00307907,0.0445479,-0.868449,2.63512,-0.723039
0.0707,-0.0103575,-0.00382301,0.0453322,-0.868449,2.94023,-0.875755
0.0713,-0.00955567,-0.00345104,0.0468224,-1.63137,2.63512,-1.18074
0.072,-0.0103575,-0.00345104,0.048391,-1.78401,2.02489,-1.02847
0.0727,-0.0110926,-0.00382301,0.0487831,-0.868449,2.48256,-0.723039
0.0733,-0.0107585,-0.00421564,0.0498811,-1.02096,2.63512,-1.18074
0.074,-0.0110926,-0.00421564,0.0514497,-1.17359,2.78767,-1.18074
0.0747,-0.0118945,-0.00421564,0.0518419,-0.868449,2.48256,-0.723039
0.0753,-0.0118945,-0.00498024,0.0525477,-1.02096,2.02489,-1.02847
0.076,-0.0114935,-0.00458761,0.0541163,-0.868449,2.33,-0.875755
0.0767,-0.0118945,-0.00421564,0.0541163,-1.32623,2.33,-0.875755
0.0773,-0.0118945,-0.00382301,0.0549006,-1.63137,2.17745,-1.18074
0.078,-0.0110926,-0.00307907,0.0563908,-1.17359,2.48256,-0.875755
0.0787,-0.0110926,-0.00192184,0.0567829,-0.868449,2.17745,-0.723039
0.0793,-0.0103575,-0.000785267,0.0571751,-1.02096,2.17745,-1.02847
0.08,-0.00955567,-0.000392633,0.0579594,-1.17359,2.63512,-1.02847
0.0807,-0.0103575,-0.00115723,0.0582731,-0.868449,2.63512,-0.723039
0.0813,-0.0103575,-0.000785267,0.0582731,-0.715815,2.63512,-0.875755
0.082,-0.00955567,-2.06649E-05,0.0586652,-0.868449,2.33,-1.02847
0.0827,-0.00955567,-0.000392633,0.0590574,-1.02096,2.48256,-1.02847
0.0833,-0.00882062,0.000371968,0.0602338,-1.17359,2.48256,-0.875755
0.084,-0.00808557,0.000743937,0.0613318,-1.32623,2.63512,-1.18074
0.0847,-0.00808557,0.000371968,0.0609397,-1.02096,2.94023,-1.02847
0.0853,-0.00768463,0.000743937,0.060626,-0.715815,2.78767,-1.02847
0.086,-0.00694958,0.000743937,0.060626,-0.715815,2.48256,-1.33345
0.0867,-0.00728369,0.000743937,0.060626,-0.715815,2.78767,-1.02847
0.0873,-0.00841968,0.00111591,0.0609397,-0.868449,2.33,-1.18074
0.088,-0.00882062,0.00111591,0.060626,-0.868449,1.87202,-1.48617
0.0887,-0.00955567,0.00111591,0.061724,-0.715815,2.48256,-0.875755
0.0893,-0.0103575,0.00150854,0.0625083,-1.17359,2.48256,-1.02847
0.09,-0.0107585,0.00111591,0.0621161,-1.32623,2.48256,-1.33345
0.0907,-0.0107585,0.00111591,0.0625083,-1.17359,2.78767,-0.875755
0.0913,-0.0110926,0.000743937,0.0629004,-1.17359,2.63512,-0.875755
0.092,-0.0122286,0.000743937,0.0629004,-1.02096,2.17745,-1.02847
0.0927,-0.0141665,0.00150854,0.0621161,-0.563305,2.17745,-1.18074
0.0933,-0.0168394,0.00111591,0.0609397,-0.410671,2.33,-1.33345
0.094,-0.0179754,0.000743937,0.0609397,-0.715815,2.17745,-1.63889
0.0947,-0.0191113,0.000371968,0.060626,-1.17359,1.87202,-1.79115
0.0953,-0.0202473,-2.06649E-05,0.0602338,-1.47874,1.87202,-2.09659
0.096,-0.0206483,0.000371968,0.0602338,-1.02096,2.63512,-1.48617
0.0967,-0.0206483,-0.000785267,0.0594495,-1.02096,2.48256,-1.18074
0.0973,-0.0213833,-0.00192184,0.0582731,-1.17359,1.87202,-1.79115
0.098,-0.0210492,-0.00192184,0.0602338,-0.563305,2.17745,-1.63889
0.0987,-0.0210492,-0.00307907,0.061724,-0.715815,2.02489,-1.48617
0.0993,-0.0213833,-0.00421564,0.0613318,-1.02096,2.02489,-1.63889
0.1,-0.0210492,-0.00498024,0.0609397,-0.715815,2.33,-1.33345
0.1007,-0.0199132,-0.00611681,0.0613318,-0.715815,2.17745,-1.18074
0.1013,-0.0206483,-0.00841062,0.061724,-1.17359,1.87202,-1.79115
0.102,-0.0210492,-0.00954719,0.0621161,-1.02096,2.33,-1.63889
0.1027,-0.0210492,-0.00954719,0.0629004,-0.868449,2.17745,-1.33345
0.1033,-0.0210492,-0.0107044,0.0651749,-0.715815,2.02489,-1.79115
0.104,-0.0206483,-0.0126056,0.066665,-0.410671,2.48256,-1.33345
0.1047,-0.0206483,-0.0145068,0.065567,-0.563305,2.33,-0.875755
0.1053,-0.0195123,-0.0148994,0.0659592,-0.868449,2.17745,-1.33345
0.106,-0.0195123,-0.0152714,0.0674493,-1.17359,2.17745,-1.79115
0.1067,-0.0199132,-0.015664,0.0678415,-1.32623,2.02489,-1.79115
0.1073,-0.0187104,-0.015664,0.0686258,-0.868449,2.02489,-1.63889
0.108,-0.0187104,-0.016036,0.0690179,-1.02096,1.71947,-1.63889
0.1087,-0.0199132,-0.0164286,0.0690179,-0.868449,2.02489,-1.63889
0.1093,-0.0199132,-0.015664,0.0690179,-0.715815,2.17745,-1.33345
0.11,-0.0195123,-0.0148994,0.0686258,-0.868449,2.02489,-1.48617
0.1107,-0.0202473,-0.0141348,0.0686258,-0.563305,2.33,-1.79115
0.1113,-0.0210492,-0.0133702,0.0690179,-0.563305,2.17745,-1.48617
0.112,-0.0206483,-0.0126056,0.0686258,-1.02096,2.17745,-1.18074
0.1127,-0.0210492,-0.011841,0.0682336,-0.868449,2.63512,-1.02847
0.1133,-0.0221852,-0.011841,0.0674493,-1.02096,2.33,-1.33345
0.114,-0.0233212,-0.0110764,0.0670572,-0.868449,2.02489,-1.33345
0.1147,-0.0229203,-0.00993982,0.066665,-0.563305,2.02489,-1.18074
0.1153,-0.0225861,-0.00954719,0.0663513,-0.868449,1.87202,-1.48617
0.116,-0.0229203,-0.00993982,0.0651749,-0.715815,2.02489,-1.18074
0.1167,-0.0240562,-0.0103118,0.0643906,-0.715815,1.71947,-1.18074
0.1173,-0.0240562,-0.0107044,0.0639984,-1.02096,1.56691,-1.33345
0.118,-0.0240562,-0.011469,0.0632926,-0.868449,2.33,-1.33345
0.1187,-0.0237221,-0.011469,0.0629004,-0.868449,2.17745,-1.79115
0.1193,-0.0240562,-0.011469,0.0629004,-0.868449,1.71947,-1.63889
0.12,-0.0244572,-0.011841,0.0613318,-0.868449,1.87202,-0.875755
0.1207,-0.0240562,-0.0129982,0.0602338,-0.868449,2.02489,-1.18074
0.1213,-0.0244572,-0.0145068,0.0590574,-0.868449,2.17745,-1.94387
0.122,-0.0252591,-0.015664,0.0586652,-0.715815,2.33,-1.94387
0.1227,-0.0244572,-0.016036,0.0586652,-0.868449,1.87202,-1.94387
0.1233,-0.0244572,-0.0171932,0.0579594,-1.02096,1.71947,-1.79115
0.124,-0.0252591,-0.0179371,0.0563908,-1.02096,2.02489,-1.63889
0.1247,-0.0248581,-0.0179371,0.0552143,-0.868449,1.87202,-1.63889
0.1253,-0.0240562,-0.0183298,0.0541163,-0.563305,2.02489,-1.18074
0.126,-0.0244572,-0.0187017,0.0545085,-0.715815,2.17745,-1.18074
0.1267,-0.0248581,-0.019859,0.0549006,-1.17359,1.87202,-1.48617
0.1273,-0.0248581,-0.0206236,0.0545085,-1.32623,1.56691,-1.79115
0.128,-0.0237221,-0.0217601,0.0541163,-0.868449,1.87202,-1.63889
0.1287,-0.0225861,-0.0225248,0.0529399,-0.410671,2.48256,-1.02847
0.1293,-0.0217843,-0.0232894,0.0518419,-0.715815,2.17745,-1.33345
0.13,-0.0210492,-0.0232894,0.0518419,-1.02096,2.02489,-1.48617
0.1307,-0.0210492,-0.0232894,0.0506654,-0.715815,2.33,-1.33345
0.1313,-0.0206483,-0.0236613,0.0498811,-0.715815,2.17745,-1.63889
0.132,-0.0195123,-0.024054,0.0491753,-1.02096,1.71947,-1.79115
0.1327,-0.0191113,-0.0248186,0.0472145,-0.868449,2.17745,-1.33345
0.1333,-0.0199132,-0.0251905,0.0461165,-0.563305,2.02489,-1.33345
0.134,-0.0191113,-0.0251905,0.0465087,-1.17359,1.2618,-2.09659
0.1347,-0.0179754,-0.0248186,0.0465087,-1.02096,1.87202,-1.63889
0.1353,-0.0175744,-0.0251905,0.0457244,-0.563305,2.33,-1.02847
0.136,-0.0172403,-0.0259551,0.0453322,-0.868449,1.56691,-1.18074
0.1367,-0.0168394,-0.0263478,0.0445479,-1.17359,1.41435,-1.33345
0.1373,-0.0168394,-0.0263478,0.0438421,-0.868449,1.56691,-1.48617
0.138,-0.0161043,-0.0259551,0.0438421,-0.868449,1.41435,-1.63889
0.1387,-0.0145674,-0.0251905,0.0434499,-0.715815,1.41435,-1.79115
0.1393,-0.0145674,-0.0259551,0.0418813,-0.715815,1.71947,-1.33345
0.14,-0.0137655,-0.0271124,0.041097,-0.868449,1.71947,-1.02847
0.1407,-0.0122286,-0.0267197,0.041097,-0.715815,1.87202,-1.63889
0.1413,-0.0110926,-0.0263478,0.039999,-1.17359,1.71947,-1.79115
0.142,-0.0110926,-0.0263478,0.0384304,-1.32623,1.41435,-1.18074
0.1427,-0.0103575,-0.0267197,0.0369403,-1.02096,1.41435,-0.875755
0.1433,-0.00955567,-0.0267197,0.0357638,-1.02096,1.41435,-1.33345
0.144,-0.00841968,-0.0255832,0.0354501,-0.715815,1.87202,-1.48617
0.1447,-0.00768463,-0.0248186,0.035058,-0.868449,2.02489,-1.63889
0.1453,-0.00808557,-0.0255832,0.0327051,-1.32623,1.41435,-1.79115
0.146,-0.00841968,-0.0259551,0.0308228,-0.868449,1.56691,-1.18074
0.1467,-0.00768463,-0.0255832,0.0300385,-0.410671,2.02489,-0.418056
0.1473,-0.00694958,-0.0248186,0.0285483,-1.02096,1.56691,-1.18074
0.148,-0.00654864,-0.0236613,0.0273719,-1.32623,1.41435,-1.63889
0.1487,-0.00654864,-0.0228967,0.0262739,-0.715815,1.41435,-1.18074
0.1493,-0.00614771,-0.0225248,0.0250974,-0.868449,1.71947,-1.18074
0.15,-0.00501172,-0.0221528,0.0247053,-0.868449,2.02489,-1.18074
0.1507,-0.00461078,-0.0221528,0.0243131,-0.868449,1.71947,-1.02847
0.1513,-0.00427666,-0.0217601,0.0239994,-0.868449,1.56691,-0.875755
0.152,-0.00347479,-0.019859,0.022823,-0.868449,1.71947,-0.723039
0.1527,-0.00273974,-0.019859,0.0213328,-1.02096,1.41435,-0.875755
0.1533,-0.00160375,-0.019859,0.0209407,-0.715815,1.56691,-0.570773
0.154,-0.000400937,-0.0183298,0.0209407,-0.868449,1.71947,-1.02847
0.1547,0.000735052,-0.0164286,0.0197642,-1.17359,1.56691,-1.48617
0.1553,0.0014701,-0.016036,0.0189799,-0.715815,1.71947,-1.33345
0.156,0.00260609,-0.0164286,0.0189799,-0.563305,1.87202,-1.18074
0.1567,0.00300703,-0.016036,0.0186662,-0.868449,1.2618,-1.18074
0.1573,0.00487807,-0.015664,0.0174898,-1.17359,1.10924,-1.18074
0.158,0.006415,-0.0145068,0.0170976,-1.32623,1.2618,-1.02847
0.1587,0.006415,-0.0141348,0.0170976,-1.02096,1.71947,-1.02847
0.1593,0.006415,-0.0133702,0.0174898,-0.563305,2.17745,-0.723039
0.16,0.00755099,-0.0126056,0.0178819,-1.02096,1.71947,-0.723039
0.1607,0.00835286,-0.011841,0.0174898,-1.17359,1.41435,-1.18074
0.1613,0.0087538,-0.0107044,0.0174898,-0.868449,1.56691,-1.02847
0.162,0.00835286,-0.0103118,0.0174898,-0.715815,1.87202,-0.875755
0.1627,0.00948885,-0.00917522,0.0170976,-0.868449,1.41435,-1.48617
0.1633,0.0102239,-0.00841062,0.0174898,-0.868449,1.56691,-1.18074
0.164,0.0102239,-0.00727405,0.0186662,-0.715815,2.02489,-0.723039
0.1647,0.0110258,-0.00535221,0.0193721,-0.868449,1.56691,-0.875755
0.1653,0.0114267,-0.00421564,0.0201564,-1.02096,1.2618,-0.723039
0.166,0.0114267,-0.00345104,0.0201564,-1.02096,1.10924,-0.570773
0.1667,0.0114267,-0.00231447,0.0193721,-0.868449,1.10924,-0.265339
0.1673,0.0117608,-0.00192184,0.0205485,-0.715815,1.2618,-0.570773
0.168,0.0114267,-0.00115723,0.0213328,-0.563305,1.56691,-0.875755
0.1687,0.0106248,0.000371968,0.0205485,-0.410671,2.17745,-0.570773
0.1693,0.0106248,0.00111591,0.0201564,-0.715815,1.56691,-0.418056
0.17,0.0106248,0.00111591,0.0201564,-0.715815,1.2618,-0.418056
0.1707,0.00988979,0.00150854,0.0201564,-0.715815,1.2618,-0.723039
0.1713,0.00948885,0.00264511,0.0213328,-0.715815,1.2618,-0.875755
0.172,0.0087538,0.00340971,0.0209407,-0.868449,1.10924,-0.723039
0.1727,0.0087538,0.00417431,0.0205485,-1.02096,1.10924,-0.723039
0.1733,0.00835286,0.00456694,0.0213328,-0.410671,1.87202,-0.418056
0.174,0.00795192,0.00493891,0.0213328,-0.410671,1.71947,-0.570773
0.1747,0.00721687,0.00570351,0.0209407,-0.563305,1.2618,-0.570773
0.1753,0.00608088,0.00570351,0.0209407,-0.563305,1.56691,-0.418056
0.176,0.00414302,0.00533155,0.0193721,-1.02096,1.56691,-0.418056
0.1767,0.00260609,0.00533155,0.0189799,-1.17359,1.10924,-0.265339
0.1773,0.0014701,0.00570351,0.0197642,-0.868449,1.2618,-0.112623
0.178,0.000735052,0.00607548,0.0197642,-0.410671,1.87202,-0.265339
0.1787,-0.000400937,0.00646812,0.0186662,-0.868449,1.56691,-0.570773
0.1793,-0.00120281,0.00684008,0.0189799,-1.02096,1.41435,-0.570773
0.18,-0.0023388,0.00723272,0.0201564,-0.868449,1.71947,-0.265339
0.1807,-0.00387573,0.00646812,0.0205485,-0.715815,1.87202,-0.112623
0.1813,-0.00427666,0.00684008,0.0209407,-0.868449,1.87202,-0.112623
0.182,-0.00387573,0.00723272,0.022823,-1.17359,1.2618,-0.570773
0.1827,-0.00574677,0.00646812,0.0236073,-0.715815,1.2618,-0.265339
0.1833,-0.00694958,0.00607548,0.0243131,-0.410671,1.56691,0.19236
0.184,-0.00694958,0.00607548,0.0262739,-0.868449,1.41435,0.19236
0.1847,-0.00694958,0.00570351,0.0273719,-1.02096,1.71947,-0.112623
0.1853,-0.00728369,0.00570351,0.0281562,-0.868449,1.87202,-0.265339
0.186,-0.00808557,0.00533155,0.0293326,-0.563305,2.02489,0.345076
0.1867,-0.00922156,0.00493891,0.0304306,-0.563305,1.56691,0.19236
0.1873,-0.00995661,0.00493891,0.0304306,-0.563305,1.56691,0.0396432
0.188,-0.0103575,0.00456694,0.0300385,-0.715815,1.56691,0.0396432
0.1887,-0.0103575,0.00456694,0.0304306,-1.02096,0.956686,-0.265339
0.1893,-0.0103575,0.00456694,0.0316071,-0.868449,1.10924,-0.112623
0.19,-0.0107585,0.00417431,0.0323914,-0.410671,1.87202,0.497342
0.1907,-0.0114935,0.00417431,0.0330972,-1.02096,1.41435,-0.265339
0.1913,-0.0118945,0.00380234,0.0338815,-1.02096,1.41435,-0.418056
0.192,-0.0114935,0.00417431,0.0338815,-0.258036,2.02489,0.345076
0.1927,-0.0110926,0.00417431,0.0346658,-0.563305,1.56691,0.0396432
0.1933,-0.0107585,0.00456694,0.0357638,-0.715815,1.2618,-0.112623
0.194,-0.0107585,0.00493891,0.0369403,-0.563305,1.56691,0.497342
0.1947,-0.0110926,0.00493891,0.0365481,-0.715815,1.56691,-0.112623
0.1953,-0.0107585,0.00570351,0.036156,-0.868449,1.56691,-0.265339
0.196,-0.0103575,0.00723272,0.036156,-0.563305,1.56691,0.497342
0.1967,-0.00955567,0.00836929,0.036156,-0.563305,1.2618,0.497342
0.1973,-0.00882062,0.00952652,0.036156,-0.715815,0.956686,-0.112623
0.198,-0.00841968,0.00989849,0.0365481,-0.715815,0.80413,-0.570773
